text,intent
hello,greeting
hi,greeting
hey there,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
hey potential ai,greeting
namaste,greeting
hi chatbot,greeting
hello college bot,greeting
is anyone there,greeting
greetings,greeting
hi prpcem assistant,greeting
hello assistant,greeting
hey there how are you,greeting
good day,greeting
bye,goodbye
goodbye,goodbye
see you later,goodbye
talk to you soon,goodbye
catch you later,goodbye
exit,goodbye
quit,goodbye
bye potential ai,goodbye
have a good day,goodbye
take care goodbye,goodbye
see you soon,goodbye
thanks,thanks
thank you,thanks
thank you so much,thanks
thanks for the information,thanks
thanks for your help,thanks
appreciate your help,thanks
that was helpful thank you,thanks
many thanks,thanks
thanks a lot,thanks
thank you potential ai,thanks
tell me about prpcem,college_information
what is prpcem,college_information
about pote college,college_information
tell me about p r pote patil college of engineering,college_information
information about prpcem amravati,college_information
give me an overview of the college,college_information
what kind of institute is prpcem,college_information
tell me details about pote college of engineering and management,college_information
what programs are provided at prpcem,college_information
college profile and key features,college_information
introduction to prpcem,college_information
general information regarding pote college,college_information
brief introduction about the institute,college_information
what is the history of prpcem,history
when was the college established,history
how old is prpcem college,history
establishment year of pote college,history
background and foundation of prpcem,history
origin of p r pote patil college,history
when did pote college start,history
founding year and history of prpcem,history
past history and background of the college,history
what is the vision and mission of the college,vision_mission
what is the college vision,vision_mission
tell me the mission of prpcem,vision_mission
quality policy of prpcem,vision_mission
what are the core values and mission statement,vision_mission
college objectives and vision,vision_mission
vision mission and quality goals,vision_mission
aims and mission of pote college,vision_mission
what departments are available,departments
list all engineering departments,departments
which departments does prpcem have,departments
tell me about the branches in engineering,departments
how many departments are in prpcem,departments
show me the departments,departments
what are the academic departments,departments
all engineering branches at pote college,departments
which departments are running in prpcem,departments
branches offered in engineering,departments
what courses are offered,courses
which courses are available at prpcem,courses
what can i study at prpcem,courses
list of courses in pote college,courses
tell me the available courses,courses
what degree courses are offered,courses
what specializations are offered,courses
academic course list at prpcem,courses
available courses for students,courses
engineering courses offered here,courses
what programs are available,programs
tell me about b tech programs,programs
does the college offer m tech,programs
is mba available at prpcem,programs
is mca course offered,programs
what undergraduate and postgraduate programs exist,programs
list of ug and pg degrees offered,programs
postgraduate and undergraduate program list,programs
bachelor and masters degree programs,programs
phd and masters programs at prpcem,programs
tell me about the faculty members,faculty
who are the teachers at prpcem,faculty
information about professors and teaching staff,faculty
faculty qualifications at prpcem,faculty
who teaches in the computer engineering department,faculty
faculty details at pote college,faculty
teaching staff and professors list,faculty
experience of faculty members,faculty
who is the hod of computer engineering,hod
who is the head of computer science department,hod
who is the hod of mechanical engineering,hod
who is the hod of electrical engineering,hod
who is the hod of civil engineering,hod
who is the hod of extc department,hod
who is the hod of ai and ds,hod
who is the hod of cse aiml,hod
who is the hod of first year,hod
who is the hod of mba,hod
who is the hod of mca,hod
tell me the head of the department,hod
who leads the computer engineering department,hod
head of mechanical department,hod
who is electrical hod,hod
what is the admission process,admission
how to take admission in prpcem,admission
admission procedure for b tech,admission
how can i apply for admission at prpcem,admission
centralized admission process cap rounds details,admission
what is the dte code for admission,admission
how to get direct second year admission,admission
how to join pote college amravati,admission
steps for admission in engineering,admission
counselling and cap round admission steps,admission
what is the eligibility for b tech,eligibility
eligibility criteria for engineering admission,eligibility
what are the qualifications required for b tech,eligibility
eligibility for direct second year engineering,eligibility
m tech admission eligibility,eligibility
what is the eligibility for mba and mca,eligibility
mht cet marks required for admission,eligibility
minimum percentage required for btech,eligibility
am i eligible for admission,eligibility
criteria for btech admission qualification,eligibility
what documents are required for admission,documents
list of documents needed for admission,documents
which certificates do i need to submit during admission,documents
document checklist for b tech admission,documents
what documents are necessary for cap round verification,documents
is caste validity certificate required,documents
documents needed for scholarship and admission,documents
certificates required at the time of admission,documents
what paperwork is required for admission,documents
what is the fee structure,fees
how much are the college fees,fees
what are the b tech fees per year,fees
fee structure for engineering courses,fees
what are the tuition fees at prpcem,fees
annual fees of pote college,fees
how much do i have to pay for b tech,fees
yearly tuition fee and development fee,fees
total fees for four years engineering,fees
cost of studying btech at prpcem,fees
what is the seat intake,intake
